domain,verdict,reason,dmarc_policy,dmarc_found,dmarc_pct,dmarc_subdomain_policy,dmarc_reporting,spf_found,spf_all,spf_dns_lookups,spf_lookup_limit_exceeded,spf_record,dmarc_record,findings
walmart.com,PROTECTED,DMARC p=reject at 100% with a valid SPF record,reject,True,100,,True,True,~,5,False,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com include:_netblocks.walmart.com include:_vspf1.walmart.com include:_vspf2.walmart.com include:_vspf3.walmart.com ip4:161.170.248.0/24 ip4:161.170.244.0/24 ip4:161.170.241.16/30 ip4:161.170.245.0/24 ip4:161.170.249.0/24 ~all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,
amazon.com,WEAK,DMARC p=quarantine delivers forged mail to the spam folder rather than rejecting it,quarantine,True,100,,True,True,-,4,False,v=spf1 include:spf1.amazon.com include:spf2.amazon.com include:amazonses.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,
unitedhealthgroup.com,WEAK,apex is protected but sp=none leaves every subdomain open,reject,True,100,none,True,True,-,6,False,v=spf1 include:res.cisco.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; sp=none; fo=1; ri=3600; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,sp=none leaves every subdomain unprotected even though the apex policy is reject
apple.com,WEAK,DMARC p=quarantine delivers forged mail to the spam folder rather than rejecting it,quarantine,True,100,reject,True,True,~,2,False,v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all,v=DMARC1; p=quarantine; sp=reject; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,
cvshealth.com,PROTECTED,DMARC p=reject at 100% with a valid SPF record,reject,True,100,,True,True,~,2,False,v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:aetna@rua.agari.com,mailto:e2133a63-86e3-4be6-8067-4a0049bf44b9@rep.usb.mimecastdmarcanalyzer.com; ruf=mailto:aetna@ruf.agari.com",
berkshirehathaway.com,WEAK,"DMARC p=reject, but the SPF record could not be retrieved, so the SPF half is unverified",reject,True,100,,False,False,,0,False,,v=DMARC1;p=reject,"no rua= address, so nobody receives aggregate reports and abuse of the domain goes unseen | DNS lookup failed: no resolver answered for berkshirehathaway.com (timed out)"
alphabet.com,WEAK,DMARC p=quarantine delivers forged mail to the spam folder rather than rejecting it,quarantine,True,100,,True,True,-,5,False,v=spf1 include:2mt7mitqr.spf.checkpoint-spf.com include:spf.protection.outlook.com -all,"v=DMARC1; p=quarantine; rua=mailto:bgm.aggregate@bmwgroup.com, mailto:bmwagprod1@eu.cp-dmarc.com; ruf=mailto:bgm.forensic@bmwgroup.com",
mckesson.com,PROTECTED,DMARC p=reject at 100% with a valid SPF record,reject,True,100,,True,True,-,6,False,v=spf1 include:_spf.salesforce.com include:servers.mcsv.net include:_spf1.mckesson.com include:_spf2.mckesson.com include:spf.bananatag.com -all,v=DMARC1; p=reject; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=86400; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,
chevron.com,SPOOFABLE,DMARC p=none is monitoring only; forged mail reaches the inbox,none,True,100,,True,True,-,3,False,v=spf1 mx ip4:146.23.30.128/27 ip4:146.23.215.144/29 ip4:146.23.203.136/29 ip4:146.23.201.136 ip4:146.23.201.137 ip4:146.23.18.144/29 ip4:146.23.21.64/27 ip4:146.23.25.64/27 ip4:146.23.219.64/27 ip4:146.23.221.64/27 ip4:146.23.207.64/27 ip4:146.23.205.64/27 ip4:216.71.143.233 ip4:216.71.140.137 include:spf.protection.outlook.com exists:%{i}.spf.hc2860-13.iphmx.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:dmarc-rua@chevron.com; ruf=mailto:dmarc-ruf@chevron.com,p=none is monitoring only and provides no protection; forged mail still reaches the inbox
cencora.com,PROTECTED,DMARC p=reject at 100% with a valid SPF record,reject,True,100,,True,True,~,1,False,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,
